Datas_of_area_pull_green_10,Freq
1,40
3,313
5,3
6,13
7,45114
8,22
9,122
10,265
11,212
14,1258
15,65
16,190
17,8505
18,984
19,118
20,764
21,419
22,470
23,8
24,3119
25,24063
26,882
27,1
28,707
29,589
30,2
31,1187
32,375
33,26159
34,701
35,1270
36,3625
37,3039
38,39
39,868
40,7281
41,50861
42,30464
43,8909
44,2
45,4
46,10
47,627
48,1
49,12825
51,449
52,8651
53,227
54,493
55,2272
56,1704
57,128
58,28
59,23
60,396
61,9993
62,1722
63,292
64,30
65,21850
66,20899
67,207
69,2362
70,1047
71,848
72,842
73,94
74,57570
75,51476
76,1688
77,473
78,1019
79,3
80,7721
81,321
82,40639
83,5754
84,2
85,910
86,21
89,2254
91,988
92,7226
93,388
94,476
95,24075
96,28
97,27867
98,119
100,1
101,45
102,224
106,3375
107,3
108,309
109,2
111,82
112,13011
113,2
115,63
116,13440
117,50
118,8
119,899
120,127
121,956
122,151
123,628
124,98
125,1
126,570
127,2927
128,145
129,25801
130,12925
131,284
132,168
133,498
134,7318
135,472
136,776
137,1
138,140
139,45
140,1
143,2
145,12990
146,4848
147,501
148,8
149,563
150,323
152,6990
153,358
154,21
155,533
156,15
157,452
159,2404
160,275
161,1
162,1
163,1
164,1
165,601
166,39707
167,933
168,2285
169,935
170,1
171,206
172,2
173,2675
174,1406
175,67
176,1
177,1279
178,186
179,6014
180,162
181,30391
182,1736
183,245
184,116
185,661
187,9
188,3226
189,3730
190,936
191,267
192,496
193,2442
194,81
195,1730
196,8674
197,605
198,413
200,169
201,11
202,89
203,73
205,249
206,81
207,141
208,414
210,3230
211,1
212,1693
213,916
214,7
215,368
216,655
217,850
218,219
219,92
220,921
221,44
222,242
223,17382
225,3293
226,10585
227,435
228,2315
229,4
230,4
232,1
233,1
234,2
235,786
236,2552
237,1
238,2
239,1
240,93
241,721
242,2274
243,5037
244,21646
245,9
246,1
247,4436
248,507
249,1
250,904
251,8
252,84
253,17
254,566
255,35471
256,12732
257,583
258,307
259,264
260,20075
261,1
262,29
263,658
264,1153
265,210
