Datas_of_area_pull_fhv_10,Freq
1,2813
2,29
3,17437
4,72416
5,1894
6,3419
7,131889
8,867
9,10462
10,25528
11,12414
12,4317
13,98256
14,65933
15,9042
16,25508
17,121749
18,40141
19,7095
20,31155
21,30680
22,37397
23,11307
24,26756
25,83222
26,52482
27,335
28,22247
29,21533
30,258
31,8643
32,20394
33,80648
34,12941
35,60162
36,117912
37,149877
38,7540
39,86406
40,40860
41,91118
42,102726
43,64798
44,2488
45,43298
46,1622
47,27637
48,235057
49,111632
50,101829
51,29413
52,20148
53,14824
54,10969
55,21435
56,34406
57,1716
58,2353
59,1309
60,17429
61,205090
62,55054
63,30599
64,7700
65,76869
66,63910
67,19941
68,193139
69,48553
70,30851
71,50004
72,63402
73,13176
74,87258
75,83734
76,98875
77,29482
78,32087
79,280619
80,124060
81,27638
82,78977
83,22506
84,3443
85,34352
86,7982
87,122456
88,41171
89,105548
90,140889
91,59824
92,69113
93,6364
94,15855
95,67580
96,2247
97,103820
98,11928
99,444
100,128125
101,8345
102,24273
106,35915
107,174448
108,15651
109,4505
110,45
111,1246
112,132273
113,133220
114,133554
115,5554
116,58938
117,6481
118,8105
119,30210
120,4765
121,29336
122,8945
123,33716
124,11626
125,68686
126,21594
127,39318
128,3169
129,91916
130,56519
131,17116
132,226628
133,24334
134,21817
135,22188
136,25519
137,117590
138,222428
139,12055
140,116199
141,125576
142,142676
143,101044
144,154550
145,85274
146,32348
147,19187
148,208686
149,28147
150,18631
151,60189
152,33412
153,7140
154,1868
155,34801
156,8196
157,29052
158,118689
159,33916
160,24050
161,260759
162,165964
163,140506
164,187552
165,36739
166,91248
167,31905
168,39928
169,41274
170,185973
171,23131
172,4018
173,26889
174,33004
175,10552
176,2352
177,48965
178,13807
179,40355
180,14020
181,165834
182,20524
183,9065
184,2112
185,25212
186,112728
187,5675
188,95594
189,57157
190,12487
191,20487
192,16413
193,12617
194,2431
195,30436
196,27150
197,34428
198,76905
199,8
200,23165
201,2871
202,7608
203,12951
204,1710
205,28264
206,19882
207,210
208,24132
209,36121
210,35687
211,108696
212,18838
213,35929
214,5702
215,21873
216,45397
217,17152
218,16293
219,14378
220,37928
221,9911
222,11998
223,68828
224,53247
225,120583
226,75939
227,26106
228,59543
229,134527
230,180344
231,214339
232,83718
233,122391
234,241127
235,41283
236,141557
237,166896
238,119915
239,129463
240,8854
241,37092
242,33420
243,67445
244,92282
245,7559
246,188219
247,47036
248,18872
249,177089
250,18081
251,5798
252,15108
253,561
254,38115
255,177226
256,129878
257,24081
258,28091
259,26245
260,47083
261,61664
262,88406
263,105662
264,271
265,18310
