manhattan,freq
4,27181
12,4400
13,97391
24,30664
41,37010
42,16844
43,143581
45,22286
48,313506
50,99954
68,235867
74,36643
75,65702
79,302501
87,78306
88,41506
90,192171
100,193524
103,0
104,0
105,9
107,239186
113,167700
114,146550
116,11987
120,64
125,61139
127,1126
128,60
137,124593
140,160695
141,226155
142,286059
143,104526
144,116978
148,150822
151,85875
152,10575
153,107
158,125900
161,366000
162,330556
163,262475
164,238404
166,55583
170,314920
186,341487
194,669
202,453
209,19582
211,83511
224,29587
229,188397
230,336865
231,190882
232,20206
233,128187
234,325807
236,354536
237,390207
238,185438
239,254062
243,2060
244,10313
246,149501
249,216287
261,60777
262,118285
263,174779
