brooklyn,freq
11,61
14,382
17,3049
21,47
22,149
25,10731
26,247
29,43
33,11359
34,295
35,127
36,1953
37,3483
39,133
40,5749
49,4102
52,5825
54,599
55,88
61,2470
62,512
63,108
65,14092
66,4427
67,55
71,114
72,102
76,259
77,53
80,7048
85,251
89,877
91,136
97,9980
106,1993
108,44
111,29
112,6345
123,134
133,437
149,46
150,20
154,20
155,51
165,147
177,233
178,112
181,12165
188,1340
189,3361
190,696
195,541
210,46
217,893
222,13
225,1297
227,133
228,1190
255,14579
256,12857
257,410
