queens,freq
2,6
7,16583
8,99
9,27
10,1269
15,10
16,46
19,47
27,2
28,502
30,2
38,31
53,57
56,254
57,43
64,8
70,1012
73,24
82,2657
83,1166
86,12
92,330
93,920
95,1423
96,16
98,37
101,20
102,80
117,9
121,62
122,15
124,63
129,5396
130,554
131,43
132,181152
134,396
135,166
138,191621
139,17
145,10621
146,9902
157,346
160,144
171,36
173,304
175,22
179,5926
180,59
191,58
192,68
193,4518
196,690
197,277
198,345
201,7
203,30
205,18
207,560
215,493
216,404
218,52
219,311
223,5575
226,16334
252,50
253,24
258,101
260,5833
