bronx,freq
3,23
18,102
20,59
31,20
32,33
46,7
47,115
51,45
58,3
59,3
60,63
69,429
78,91
81,48
94,56
119,227
126,89
136,110
147,89
159,510
167,217
168,1767
169,151
174,74
182,100
183,17
184,3
185,67
199,1
200,50
208,44
212,119
213,83
220,235
235,186
240,32
241,97
242,149
247,1651
248,56
250,82
254,36
259,39
