Datas_of_area_pull_green_03,Freq
1,23
3,176
5,1
6,4
7,58967
8,20
9,45
10,147
11,37
13,3
14,998
15,14
16,142
17,15807
18,1609
19,41
20,1194
21,81
22,86
23,31
24,3406
25,30795
26,273
27,2
28,668
29,374
31,280
32,313
33,27879
34,836
35,1053
36,4550
37,4319
38,22
39,371
40,9721
41,66598
42,43734
43,9638
44,7
45,5
46,22
47,1255
48,37
49,19741
50,11
51,274
52,12376
53,233
54,595
55,972
56,1787
57,119
58,16
59,28
60,562
61,16363
62,1974
63,201
64,20
65,22375
66,22270
67,50
68,17
69,4153
70,1175
71,509
72,546
73,94
74,66370
75,59595
76,1219
77,321
78,1380
79,26
80,8840
81,173
82,48284
83,7284
84,1
85,1254
86,8
87,2
88,4
89,2464
90,8
91,478
92,8748
93,251
94,882
95,29309
96,79
97,40054
98,48
99,1
100,15
101,36
102,196
106,4660
107,12
108,96
111,46
112,17632
113,14
114,14
115,15
116,17822
117,26
118,14
119,1492
120,178
121,1184
122,128
123,130
124,49
125,3
126,856
127,4165
128,222
129,32043
130,15242
131,180
132,180
133,415
134,9549
135,458
136,1109
137,17
138,165
139,15
140,11
141,19
142,16
143,5
144,12
145,18980
146,5839
147,700
148,4
149,351
150,76
151,5
152,9410
153,588
154,6
155,86
156,40
157,657
158,9
159,4937
160,232
161,47
162,62
163,38
164,22
165,222
166,45484
167,1753
168,4215
169,1551
170,29
171,135
172,2
173,3689
174,2061
175,20
176,2
177,1657
178,64
179,6612
180,71
181,43381
182,1866
183,264
184,268
185,851
186,24
187,68
188,4191
189,6314
190,1254
191,146
192,460
193,2776
194,31
195,1018
196,9950
197,796
198,571
199,14
200,118
201,16
202,98
203,60
204,1
205,99
206,75
207,161
208,424
209,3
210,4118
211,3
212,1792
213,774
214,4
215,205
216,755
217,1365
218,50
219,86
220,1127
221,19
222,37
223,21691
224,1
225,6044
226,14544
227,245
228,2285
229,29
230,46
231,14
232,4
233,17
234,29
235,1354
236,2440
237,32
238,10
239,15
240,85
241,983
242,2163
243,7028
244,26582
245,25
246,10
247,6814
248,709
249,19
250,999
251,23
252,75
253,15
254,427
255,44441
256,17490
257,692
258,264
259,95
260,25176
261,3
262,40
263,684
264,1818
265,320
