Datas_of_area_pull_fhv_03,Freq
0,10782
1,961
2,14
3,14183
4,57316
5,1286
6,2686
7,103078
8,246
9,7759
10,21745
11,10068
12,1636
13,80011
14,54401
15,5422
16,20405
17,99021
18,26940
19,5884
20,18603
21,26799
22,31215
23,8091
24,21636
25,61139
26,53037
27,144
28,17349
29,17583
30,135
31,2145
32,15058
33,58767
34,8326
35,53311
36,92614
37,116324
38,6556
39,65748
40,31431
41,70112
42,78339
43,22091
44,1566
45,34757
46,911
47,18012
48,167377
49,81811
50,102412
51,19737
52,19720
53,9870
54,8283
55,16225
56,23733
57,1952
58,1557
59,688
60,11702
61,157207
62,46039
63,23179
64,5449
65,58174
66,40421
67,15890
68,157875
69,31525
70,23030
71,40573
72,50868
73,9212
74,63223
75,61826
76,78537
77,23326
78,22404
79,239726
80,90700
81,18665
82,54752
83,16210
84,2119
85,26545
86,3922
87,86247
88,33712
89,88190
90,109446
91,48787
92,42041
93,2518
94,12303
95,53778
96,763
97,75957
98,9735
99,182
100,96917
101,4092
102,24609
105,1
106,29470
107,140314
108,12578
109,3402
110,4
111,376
112,108372
113,116034
114,112812
115,3497
116,44435
117,4680
118,5792
119,18942
120,590
121,24504
122,7183
123,37741
124,8545
125,55273
126,14748
127,30129
128,1730
129,75287
130,45578
131,13414
132,187531
133,20637
134,17317
135,19690
136,17176
137,93782
138,196189
139,10841
140,98756
141,112860
142,117212
143,82392
144,128647
145,67000
146,22995
147,11756
148,153453
149,24111
150,13391
151,47214
152,23285
153,6147
154,820
155,26253
156,5929
157,24026
158,109300
159,22941
160,19347
161,204580
162,147106
163,137155
164,151678
165,37119
166,67172
167,20436
168,30626
169,26215
170,174301
171,17208
172,2984
173,22331
174,23600
175,8827
176,1598
177,37871
178,14312
179,34302
180,11547
181,132966
182,13767
183,7177
184,426
185,18907
186,115902
187,4281
188,73525
189,46493
190,6323
191,17091
192,10589
193,8998
194,445
195,21332
196,19430
197,28310
198,63638
199,13
200,16443
201,2177
202,5022
203,10820
204,1044
205,24100
206,8445
207,277
208,16125
209,30113
210,30230
211,93637
212,12677
213,23994
214,4047
215,19571
216,36505
217,13893
218,13453
219,11787
220,25960
221,5224
222,9659
223,58520
224,44839
225,89810
226,64052
227,18961
228,42146
229,107661
230,182661
231,186173
232,63253
233,88603
234,205541
235,30548
236,123122
237,133447
238,93815
239,120186
240,3039
241,26393
242,23314
243,49853
244,70437
245,5040
246,133670
247,28912
248,13405
249,143860
250,13203
251,4176
252,10061
253,283
254,26251
255,140585
256,113721
257,21621
258,22117
259,16533
260,37402
261,47875
262,68178
263,84841
264,1488
265,35578
