manhattan,freq
4,27553
12,3047
13,86848
24,28026
41,32474
42,14839
43,118796
45,21966
48,296443
50,86511
68,223850
74,32070
75,62481
79,303044
87,70588
88,36649
90,184258
100,191534
103,0
104,0
105,3
107,238342
113,167509
114,138421
116,11035
120,42
125,56390
127,953
128,52
137,126486
140,169958
141,226450
142,276893
143,103805
144,109673
148,144565
151,83831
152,8808
153,78
158,108489
161,360230
162,330271
163,250439
164,227186
166,45723
170,305612
186,339059
194,396
202,421
209,17579
211,81399
224,30009
229,185975
230,333117
231,177962
232,19089
233,120344
234,332472
236,363268
237,380212
238,188272
239,251953
243,1903
244,9467
246,135728
249,211193
261,52306
262,119432
263,175371
