queens,freq
2,7
7,17404
8,120
9,25
10,1368
15,20
16,68
19,48
27,0
28,621
30,2
38,13
53,67
56,465
57,58
64,25
70,1231
73,35
82,2965
83,1312
86,13
92,443
93,1070
95,1520
96,25
98,51
101,28
102,68
117,15
121,65
122,16
124,62
129,5684
130,688
131,60
132,221017
134,414
135,193
138,209764
139,17
145,9225
146,10316
157,475
160,161
171,51
173,402
175,20
179,6096
180,62
191,51
192,110
193,4312
196,795
197,316
198,373
201,8
203,25
205,33
207,299
215,593
216,439
218,58
219,379
223,5920
226,17308
252,56
253,6
258,140
260,6296
