queens,freq
2,7
7,17271
8,77
9,41
10,2170
15,25
16,63
19,97
27,2
28,551
30,0
38,38
53,54
56,363
57,27
64,33
70,976
73,27
82,2900
83,1229
86,20
92,367
93,883
95,1206
96,29
98,37
101,27
102,73
117,21
121,86
122,31
124,108
129,5402
130,728
131,79
132,192462
134,507
135,210
138,245896
139,40
145,9461
146,9340
157,437
160,135
171,74
173,429
175,61
179,6073
180,74
191,102
192,75
193,4614
196,700
197,295
198,264
201,9
203,44
205,78
207,442
215,705
216,773
218,124
219,531
223,4865
226,15002
252,89
253,7
258,102
260,5428
