manhattan,freq
4,23592
12,4599
13,82736
24,28838
41,34267
42,14668
43,146740
45,22231
48,298288
50,80492
68,222947
74,35268
75,64016
79,273267
87,68302
88,35656
90,166829
100,191184
103,1
104,0
105,9
107,229142
113,153085
114,130174
116,11324
120,44
125,50553
127,892
128,55
137,117644
140,157197
141,229181
142,308510
143,105123
144,105568
148,130940
151,86732
152,9357
153,88
158,92648
161,351585
162,315626
163,264261
164,228077
166,48760
170,288691
186,326213
194,331
202,380
209,17747
211,78235
224,24798
229,181220
230,322198
231,158958
232,16337
233,119200
234,293059
236,365788
237,400727
238,192746
239,258417
243,1929
244,10117
246,113566
249,190407
261,62642
262,115486
263,180324
