manhattan,freq
4,20549
12,3494
13,79749
24,27064
41,30629
42,12822
43,132967
45,20746
48,286924
50,80520
68,217019
74,32203
75,60172
79,254904
87,67902
88,34768
90,166327
100,190467
103,0
104,0
105,16
107,216581
113,151485
114,128771
116,9426
120,35
125,52544
127,727
128,31
137,110176
140,159193
141,214953
142,288663
143,105096
144,97585
148,125192
151,80229
152,8040
153,78
158,97082
161,360487
162,321958
163,264293
164,221972
166,46136
170,286529
186,324140
194,444
202,396
209,16722
211,75839
224,23796
229,173249
230,319647
231,157747
232,15388
233,116573
234,296612
236,356768
237,398106
238,180078
239,245597
243,1508
244,7747
246,125703
249,185403
261,55338
262,111251
263,166542
