queens,freq
2,9
7,14682
8,76
9,31
10,2316
15,33
16,36
19,69
27,3
28,538
30,1
38,37
53,83
56,297
57,20
64,30
70,958
73,27
82,2549
83,1008
86,14
92,379
93,958
95,1238
96,15
98,29
101,36
102,76
117,12
121,69
122,18
124,93
129,4560
130,686
131,72
132,206545
134,464
135,165
138,266537
139,37
145,10822
146,9647
157,442
160,127
171,73
173,287
175,39
179,4972
180,74
191,57
192,69
193,4239
196,686
197,312
198,225
201,6
203,57
205,52
207,493
215,665
216,727
218,108
219,552
223,4419
226,14593
252,57
253,11
258,108
260,5028
