brooklyn,freq
11,170
14,1098
17,8992
21,298
22,411
25,22059
26,759
29,413
33,23573
34,560
35,1085
36,3663
37,3064
39,637
40,6845
49,12827
52,7750
54,467
55,2146
61,9935
62,1661
63,195
65,20319
66,19215
67,147
71,570
72,626
76,1375
77,330
80,7139
85,910
89,2036
91,704
97,26297
106,2823
108,239
111,53
112,12508
123,472
133,462
149,489
150,186
154,21
155,352
165,440
177,1107
178,171
181,27434
188,3107
189,3549
190,853
195,1693
210,2723
217,932
222,170
225,3321
227,322
228,1746
255,33905
256,12670
257,552
