queens,freq
2,0
7,44188
8,22
9,111
10,192
15,35
16,133
19,90
27,4
28,647
30,1
38,27
53,176
56,1562
57,262
64,20
70,1023
73,103
82,37674
83,5683
86,12
92,7119
93,9859
95,23105
96,51
98,99
101,33
102,191
117,36
121,877
122,152
124,72
129,23290
130,11822
131,270
132,149
134,6979
135,414
138,148
139,68
145,13374
146,4968
157,534
160,286
171,154
173,2526
175,51
179,4965
180,125
191,234
192,529
193,2323
196,8399
197,585
198,381
201,8
203,42
205,167
207,101
215,273
216,656
218,143
219,80
223,15855
226,9508
252,76
253,239
258,307
260,19988
