bronx,freq
3,24
18,68
20,61
31,40
32,33
46,4
47,86
51,48
58,5
59,3
60,60
69,364
78,72
81,30
94,49
119,240
126,82
136,102
147,76
159,426
167,172
168,1684
169,130
174,63
182,97
183,7
184,6
185,45
199,1
200,65
208,55
212,89
213,110
220,160
235,117
240,15
241,68
242,75
247,1673
248,56
250,102
254,62
259,38
