manhattan,freq
4,19760
12,6008
13,86319
24,21677
41,26118
42,12876
43,110076
45,20512
48,273012
50,82437
68,202362
74,29413
75,52404
79,234288
87,71713
88,37714
90,156974
100,192360
103,0
104,0
105,8
107,197442
113,134826
114,114748
116,8884
120,49
125,50816
127,777
128,53
137,107272
140,139866
141,181564
142,213873
143,81675
144,96494
148,126175
151,65162
152,7644
153,71
158,100467
161,351637
162,305770
163,225424
164,220821
166,32089
170,292309
186,315046
194,389
202,427
209,18280
211,70687
224,23806
229,158342
230,298907
231,147709
232,15395
233,119535
234,282921
236,248707
237,296115
238,132041
239,188271
243,1460
244,7275
246,131813
249,167738
261,56659
262,89837
263,138101
