queens,freq
2,8
7,15345
8,85
9,52
10,2068
15,19
16,64
19,71
27,1
28,589
30,2
38,33
53,53
56,330
57,49
64,32
70,1387
73,18
82,2622
83,1179
86,13
92,438
93,1791
95,1234
96,24
98,44
101,37
102,78
117,24
121,59
122,17
124,83
129,5190
130,768
131,70
132,228360
134,467
135,185
138,252258
139,32
145,10513
146,9494
157,407
160,142
171,61
173,350
175,18
179,5475
180,70
191,64
192,103
193,4506
196,674
197,334
198,225
201,11
203,55
205,48
207,410
215,645
216,690
218,104
219,533
223,4950
226,14139
252,58
253,40
258,103
260,5121
