PULocationID,DOLocationID,Freq,jojo,koko
198,0,7146,Queens,Unknown
181,0,3900,Brooklyn,Unknown
36,0,3513,Brooklyn,Unknown
61,0,2843,Brooklyn,Unknown
81,0,2601,Bronx,Unknown
89,0,2427,Brooklyn,Unknown
102,0,2325,Queens,Unknown
35,0,2172,Brooklyn,Unknown
188,0,1794,Brooklyn,Unknown
257,0,1765,Brooklyn,Unknown
254,0,1638,Bronx,Unknown
72,0,1503,Brooklyn,Unknown
71,0,1414,Brooklyn,Unknown
51,0,1358,Bronx,Unknown
157,0,1337,Queens,Unknown
37,0,1245,Brooklyn,Unknown
132,0,1110,Queens,Unknown
216,0,1048,Queens,Unknown
160,0,966,Queens,Unknown
225,0,929,Brooklyn,Unknown
91,0,832,Brooklyn,Unknown
76,0,781,Brooklyn,Unknown
3,0,771,Bronx,Unknown
228,0,717,Brooklyn,Unknown
39,0,659,Brooklyn,Unknown
33,0,639,Brooklyn,Unknown
25,0,591,Brooklyn,Unknown
62,0,587,Brooklyn,Unknown
17,0,585,Brooklyn,Unknown
177,0,580,Brooklyn,Unknown
138,0,578,Queens,Unknown
77,0,556,Brooklyn,Unknown
195,0,548,Brooklyn,Unknown
259,0,535,Bronx,Unknown
133,0,526,Brooklyn,Unknown
165,0,485,Brooklyn,Unknown
29,0,484,Brooklyn,Unknown
85,0,474,Brooklyn,Unknown
40,0,454,Brooklyn,Unknown
97,0,446,Brooklyn,Unknown
189,0,413,Brooklyn,Unknown
210,0,395,Brooklyn,Unknown
55,0,389,Brooklyn,Unknown
14,0,379,Brooklyn,Unknown
106,0,379,Brooklyn,Unknown
14,0,379,Brooklyn,Unknown
106,0,379,Brooklyn,Unknown
123,0,342,Brooklyn,Unknown
242,0,328,Bronx,Unknown
26,0,306,Brooklyn,Unknown
0,0,303,Unknown,Unknown
215,0,300,Queens,Unknown
