bronx,freq
3,771
18,86
20,50
31,11
32,280
46,8
47,88
51,1358
58,3
59,0
60,43
69,154
78,262
81,2602
94,29
119,150
126,52
136,55
147,63
159,114
167,81
168,120
169,194
174,239
182,50
183,32
184,2
185,174
199,0
200,46
208,62
212,72
213,116
220,99
235,94
240,24
241,43
242,335
247,48
248,38
250,54
254,1639
259,536
