brooklyn,freq
11,36
14,993
17,15793
21,78
22,86
25,30768
26,271
29,373
33,27850
34,836
35,1047
36,4542
37,4313
39,367
40,9709
49,19714
52,12362
54,595
55,969
61,16340
62,1970
63,197
65,22342
66,22239
67,50
71,504
72,543
76,1214
77,320
80,8829
85,1252
89,2456
91,474
97,40009
106,4657
108,96
111,46
112,17615
123,130
133,415
149,351
150,75
154,6
155,85
165,221
177,1650
178,64
181,43331
188,4181
189,6310
190,1251
195,1015
210,4111
217,1362
222,37
225,6034
227,244
228,2282
255,44392
256,17460
257,690
