queens,freq
2,0
7,58893
8,20
9,43
10,144
15,14
16,137
19,36
27,2
28,656
30,0
38,22
53,233
56,1784
57,119
64,20
70,1175
73,93
82,48224
83,7273
86,7
92,8701
93,248
95,29238
96,79
98,46
101,34
102,195
117,26
121,1176
122,128
124,48
129,31994
130,14958
131,168
132,180
134,9477
135,456
138,163
139,14
145,18939
146,5834
157,654
160,231
171,134
173,3674
175,20
179,6607
180,71
191,137
192,458
193,2765
196,9940
197,787
198,570
201,16
203,56
205,95
207,161
215,202
216,746
218,50
219,82
223,21673
226,14525
252,75
253,15
258,263
260,25123
