brooklyn,freq
11,13511
14,68105
17,125649
21,34208
22,41486
25,80835
26,64403
29,24656
33,73100
34,12590
35,66655
36,110939
37,146827
39,96152
40,38921
49,108688
52,20018
54,10486
55,23774
61,217098
62,60295
63,33684
65,73037
66,59358
67,20892
71,55883
72,71199
76,117240
77,33307
80,117511
85,38480
89,116816
91,66067
97,103877
106,34419
108,17416
111,1129
112,121440
123,39493
133,26778
149,32452
150,19751
154,1546
155,39708
165,43491
177,54760
178,16490
181,159140
188,103339
189,56373
190,12001
195,27043
210,41183
217,19814
222,14317
225,128528
227,28063
228,57013
255,159723
256,122767
257,23925
