queens,freq
2,13
7,133242
8,711
9,10613
10,26503
15,8799
16,25431
19,5976
27,273
28,22494
30,296
38,7762
53,15229
56,34228
57,1666
64,6799
70,29053
73,13187
82,85788
83,22831
86,6850
92,70133
93,5868
95,67882
96,2300
98,12715
101,6065
102,22814
117,6932
121,29749
122,9403
124,12032
129,93591
130,59503
131,17436
132,187852
134,22401
135,23875
138,191183
139,11963
145,83696
146,31712
157,28758
160,24701
171,23569
173,27717
175,10767
179,43159
180,15573
191,19733
192,16485
193,13412
196,28528
197,36289
198,70189
201,2953
203,11308
205,30278
207,192
215,24695
216,48373
218,15235
219,13860
223,67748
226,76474
252,15198
253,590
258,30255
260,47111
