PULocationID,DOLocationID,Freq,jojo,koko
76,76,26968,Brooklyn,Brooklyn
61,61,25030,Brooklyn,Brooklyn
39,39,20994,Brooklyn,Brooklyn
26,26,20896,Brooklyn,Brooklyn
129,129,16561,Queens,Queens
7,7,16291,Queens,Queens
181,181,16004,Brooklyn,Brooklyn
14,14,14847,Brooklyn,Brooklyn
92,92,13528,Queens,Queens
36,37,12625,Brooklyn,Brooklyn
37,37,12586,Brooklyn,Brooklyn
112,255,12167,Brooklyn,Brooklyn
37,36,11668,Brooklyn,Brooklyn
82,82,11609,Queens,Queens
161,138,11565,Manhattan,Queens
255,112,11560,Brooklyn,Brooklyn
7,223,11508,Queens,Queens
225,61,11483,Brooklyn,Brooklyn
89,89,11323,Brooklyn,Brooklyn
223,223,11181,Queens,Queens
61,225,11093,Brooklyn,Brooklyn
223,7,11089,Queens,Queens
61,188,10851,Brooklyn,Brooklyn
188,61,10744,Brooklyn,Brooklyn
95,95,10330,Queens,Queens
17,61,10198,Brooklyn,Brooklyn
61,17,10093,Brooklyn,Brooklyn
230,138,9711,Manhattan,Queens
42,42,9470,Manhattan,Manhattan
225,225,9350,Brooklyn,Brooklyn
237,236,9144,Manhattan,Manhattan
255,80,8978,Brooklyn,Brooklyn
112,112,8934,Brooklyn,Brooklyn
80,255,8880,Brooklyn,Brooklyn
39,76,8736,Brooklyn,Brooklyn
234,79,8649,Manhattan,Manhattan
256,255,8529,Brooklyn,Brooklyn
138,230,8327,Queens,Manhattan
237,161,8321,Manhattan,Manhattan
255,256,8295,Brooklyn,Brooklyn
161,234,8286,Manhattan,Manhattan
162,138,8260,Manhattan,Queens
42,41,8250,Manhattan,Manhattan
17,225,8243,Brooklyn,Brooklyn
225,17,8178,Brooklyn,Brooklyn
79,234,8152,Manhattan,Manhattan
236,237,8139,Manhattan,Manhattan
129,82,8138,Queens,Queens
181,61,8124,Brooklyn,Brooklyn
188,188,8054,Brooklyn,Brooklyn
