queens,freq
2,28
7,117167
8,1077
9,7698
10,23103
15,7900
16,19653
19,5154
27,2086
28,18249
30,399
38,6154
53,11519
56,27740
57,1597
64,5544
70,24785
73,9115
82,62675
83,17719
86,4813
92,44248
93,7941
95,61217
96,2120
98,9147
101,4862
102,22676
117,7437
121,15367
122,7486
124,9795
129,81429
130,48721
131,12563
132,180420
134,19297
135,15571
138,162855
139,10662
145,77732
146,28494
157,25138
160,21102
171,18165
173,22537
175,6384
179,37465
180,12298
191,17226
192,11836
193,10717
196,22251
197,30372
198,66011
201,6014
203,10580
205,25797
207,156
215,20532
216,40577
218,13248
219,12284
223,63342
226,64457
252,12977
253,2633
258,23960
260,41635
