brooklyn,freq
11,10528
14,56820
17,111331
21,24500
22,29933
25,71357
26,36476
29,19491
33,71193
34,10020
35,50972
36,105386
37,134640
39,76626
40,34098
49,90283
52,16145
54,9165
55,24872
61,180543
62,45443
63,25823
65,65821
66,51637
67,15837
71,46235
72,56963
76,84511
77,24818
80,110632
85,29871
89,85427
91,54423
97,85253
106,28227
108,13045
111,1069
112,116870
123,23466
133,19610
149,22687
150,15543
154,2071
155,30266
165,28088
177,43973
178,9486
181,136081
188,84488
189,47646
190,12861
195,31463
210,29944
217,13068
222,10614
225,110412
227,21125
228,45587
255,162010
256,115951
257,21004
