staten_island,freq
5,1868
6,4094
23,11594
44,2289
84,3419
99,1296
109,4960
110,49
115,4617
118,9835
156,7512
172,4081
176,2522
187,4944
204,1622
206,13383
214,6278
221,7742
245,7640
251,7323
