PULocationID,DOLocationID,Freq,jojo,koko
237,236,52701,Manhattan,Manhattan
236,237,44254,Manhattan,Manhattan
236,236,43586,Manhattan,Manhattan
237,237,40820,Manhattan,Manhattan
239,142,25281,Manhattan,Manhattan
239,238,24995,Manhattan,Manhattan
237,162,24901,Manhattan,Manhattan
237,161,24233,Manhattan,Manhattan
142,239,23145,Manhattan,Manhattan
161,237,22503,Manhattan,Manhattan
238,239,21881,Manhattan,Manhattan
186,230,21229,Manhattan,Manhattan
186,161,20760,Manhattan,Manhattan
141,236,20469,Manhattan,Manhattan
107,170,20050,Manhattan,Manhattan
230,186,19662,Manhattan,Manhattan
234,170,19218,Manhattan,Manhattan
48,48,19186,Manhattan,Manhattan
161,161,18729,Manhattan,Manhattan
162,170,18369,Manhattan,Manhattan
263,236,18220,Manhattan,Manhattan
237,141,18182,Manhattan,Manhattan
79,79,18150,Manhattan,Manhattan
239,239,18091,Manhattan,Manhattan
48,68,17831,Manhattan,Manhattan
141,237,17751,Manhattan,Manhattan
142,238,16991,Manhattan,Manhattan
236,141,16723,Manhattan,Manhattan
186,170,16715,Manhattan,Manhattan
170,234,16607,Manhattan,Manhattan
138,230,16489,Queens,Manhattan
161,236,16362,Manhattan,Manhattan
236,161,16294,Manhattan,Manhattan
263,141,16169,Manhattan,Manhattan
186,234,16134,Manhattan,Manhattan
236,239,16077,Manhattan,Manhattan
161,234,16047,Manhattan,Manhattan
236,162,15979,Manhattan,Manhattan
170,161,15930,Manhattan,Manhattan
161,164,15705,Manhattan,Manhattan
162,237,15682,Manhattan,Manhattan
238,142,15648,Manhattan,Manhattan
237,140,15549,Manhattan,Manhattan
164,161,15400,Manhattan,Manhattan
141,141,15317,Manhattan,Manhattan
170,170,15275,Manhattan,Manhattan
237,142,15220,Manhattan,Manhattan
239,236,15157,Manhattan,Manhattan
236,75,15094,Manhattan,Manhattan
142,48,15049,Manhattan,Manhattan
