manhattan,freq
4,23407
12,5252
13,96717
24,29022
41,36066
42,16650
43,137437
45,21513
48,301002
50,92863
68,222804
74,37724
75,64450
79,273561
87,80826
88,41612
90,178876
100,190131
103,0
104,1
105,14
107,227203
113,153848
114,131182
116,11683
120,63
125,57448
127,1099
128,89
137,121453
140,160166
141,217866
142,275536
143,104167
144,108622
148,142518
151,84191
152,9895
153,85
158,115066
161,358138
162,330954
163,257212
164,227205
166,44806
170,314651
186,327710
194,714
202,476
209,19743
211,78351
224,26883
229,183452
230,309051
231,176263
232,17729
233,134237
234,307598
236,342972
237,379234
238,184297
239,245727
243,2165
244,10502
246,141264
249,195505
261,58837
262,113002
263,170219
