bronx,freq
3,27
18,86
20,67
31,81
32,35
46,11
47,104
51,26
58,5
59,4
60,70
69,429
78,73
81,34
94,65
119,341
126,170
136,102
147,73
159,540
167,181
168,1802
169,156
174,91
182,108
183,16
184,4
185,72
199,0
200,81
208,59
212,128
213,132
220,204
235,198
240,27
241,78
242,123
247,1965
248,66
250,122
254,50
259,44
