queens,freq
2,11
7,17054
8,132
9,31
10,2160
15,15
16,50
19,104
27,2
28,578
30,5
38,33
53,46
56,331
57,38
64,22
70,1490
73,19
82,2971
83,1314
86,4
92,487
93,1157
95,1461
96,24
98,40
101,43
102,88
117,27
121,63
122,14
124,115
129,5662
130,733
131,52
132,225378
134,503
135,181
138,264490
139,21
145,12352
146,10244
157,450
160,135
171,65
173,317
175,24
179,6229
180,88
191,70
192,139
193,5078
196,783
197,312
198,280
201,11
203,33
205,34
207,517
215,655
216,679
218,64
219,515
223,6482
226,16849
252,84
253,26
258,122
260,5707
