manhattan,freq
4,64381
12,4081
13,84468
24,24486
41,82556
42,92501
43,58028
45,39856
48,205040
50,90362
68,172794
74,83095
75,73534
79,248730
87,110604
88,32926
90,124116
100,108280
103,0
104,0
105,2
107,152057
113,114491
114,116719
116,52291
120,4393
125,65810
127,33524
128,3073
137,102381
140,100053
141,108519
142,119166
143,88213
144,142800
148,194050
151,55844
152,30198
153,5955
158,108818
161,209610
162,135993
163,118069
164,167428
166,78544
170,158751
186,98901
194,2484
202,7691
209,33249
211,100949
224,46792
229,114311
230,156377
231,190624
232,75762
233,105254
234,210689
236,119542
237,143939
238,104860
239,114185
243,60564
244,79221
246,177302
249,153930
261,56078
262,77307
263,92215
