staten_island,freq
5,1550
6,3245
23,9424
44,2001
84,2979
99,450
109,3980
110,83
115,4799
118,6904
156,6656
172,3412
176,2046
187,4505
204,1534
206,12441
214,4880
221,7556
245,5896
251,4784
