queens,freq
2,29
7,124063
8,914
9,8845
10,23531
15,7859
16,21692
19,5405
27,902
28,19726
30,309
38,6463
53,13498
56,32024
57,2113
64,5844
70,28625
73,11547
82,72399
83,19910
86,5156
92,62870
93,20020
95,61944
96,2113
98,11374
101,5270
102,22846
117,5913
121,26146
122,7757
124,10260
129,84239
130,49571
131,15255
132,183636
134,20385
135,20449
138,166420
139,10162
145,84650
146,31247
157,27329
160,21789
171,20841
173,25465
175,8682
179,40152
180,12579
191,17236
192,15148
193,12001
196,24858
197,30593
198,70304
201,3619
203,9952
205,24793
207,210
215,19971
216,40867
218,12962
219,11767
223,67373
226,66348
252,13668
253,4356
258,25145
260,43776
