brooklyn,freq
11,10779
14,60589
17,117534
21,27803
22,32693
25,76084
26,49396
29,19505
33,75520
34,10722
35,55861
36,109694
37,137248
39,79936
40,37148
49,101054
52,17866
54,9742
55,22259
61,189033
62,51316
63,28147
65,70488
66,58210
67,17598
71,48417
72,60703
76,90619
77,27052
80,117082
85,32341
89,94130
91,56679
97,91394
106,30828
108,13811
111,1048
112,123897
123,30272
133,22361
149,24872
150,16182
154,1764
155,31547
165,33686
177,46175
178,12687
181,141138
188,88313
189,50054
190,11939
195,31947
210,31699
217,16455
222,10915
225,112557
227,23946
228,49054
255,171673
256,121841
257,21069
