queens,freq
2,10
7,15921
8,89
9,24
10,2706
15,20
16,45
19,77
27,0
28,604
30,3
38,28
53,65
56,307
57,29
64,43
70,1147
73,19
82,2461
83,1054
86,11
92,414
93,1083
95,1227
96,17
98,39
101,38
102,78
117,22
121,78
122,21
124,104
129,5003
130,847
131,68
132,233062
134,483
135,162
138,283237
139,22
145,11160
146,9671
157,429
160,129
171,55
173,257
175,36
179,5565
180,87
191,64
192,96
193,4437
196,646
197,282
198,276
201,3
203,30
205,54
207,554
215,748
216,720
218,111
219,587
223,4989
226,15150
252,46
253,9
258,78
260,5508
