brooklyn,freq
11,82
14,1015
17,9746
21,218
22,366
25,23858
26,655
29,364
33,24393
34,592
35,912
36,3941
37,3648
39,469
40,7223
49,13648
52,8275
54,508
55,2974
61,10743
62,1539
63,167
65,19642
66,20266
67,127
71,587
72,407
76,1093
77,292
80,8114
85,828
89,1848
91,583
97,29243
106,3062
108,194
111,65
112,13533
123,299
133,400
149,314
150,168
154,23
155,215
165,311
177,1054
178,120
181,29699
188,3041
189,4101
190,1396
195,1730
210,2831
217,712
222,111
225,3627
227,274
228,1949
255,36477
256,14001
257,642
