queens,freq
2,1
7,47681
8,52
9,61
10,201
15,39
16,134
19,59
27,12
28,747
30,0
38,27
53,189
56,1692
57,234
64,33
70,1047
73,54
82,39544
83,5529
86,12
92,7272
93,2135
95,25972
96,40
98,91
101,31
102,171
117,47
121,748
122,161
124,68
129,25952
130,12642
131,202
132,200
134,6594
135,348
138,143
139,27
145,14641
146,3954
157,461
160,255
171,135
173,3033
175,27
179,4781
180,119
191,192
192,714
193,2651
196,8699
197,592
198,431
201,15
203,62
205,175
207,143
215,263
216,738
218,126
219,91
223,16178
226,10892
252,102
253,220
258,296
260,21354
