PULocationID,DOLocationID,Freq,jojo,koko
7,7,12936,Queens,Queens
41,42,9282,Manhattan,Manhattan
75,74,8699,Manhattan,Manhattan
129,129,7433,Queens,Queens
74,75,7168,Manhattan,Manhattan
181,181,7165,Brooklyn,Brooklyn
42,42,6917,Manhattan,Manhattan
82,129,6884,Queens,Queens
41,41,6477,Manhattan,Manhattan
41,74,6392,Manhattan,Manhattan
95,95,6306,Queens,Queens
82,82,6295,Queens,Queens
74,74,6149,Manhattan,Manhattan
7,223,6115,Queens,Queens
255,112,6005,Brooklyn,Brooklyn
74,41,5944,Manhattan,Manhattan
42,41,5089,Manhattan,Manhattan
75,75,4967,Manhattan,Manhattan
223,223,4831,Queens,Queens
74,42,4770,Manhattan,Manhattan
7,179,4519,Queens,Queens
255,256,3922,Brooklyn,Brooklyn
145,145,3482,Queens,Queens
74,236,3478,Manhattan,Manhattan
97,97,3323,Brooklyn,Brooklyn
166,166,3286,Manhattan,Manhattan
74,263,3283,Manhattan,Manhattan
244,244,3154,Manhattan,Manhattan
41,166,3123,Manhattan,Manhattan
223,7,3101,Queens,Queens
75,41,3006,Manhattan,Manhattan
42,74,2989,Manhattan,Manhattan
25,181,2977,Brooklyn,Brooklyn
75,236,2920,Manhattan,Manhattan
260,7,2910,Queens,Queens
7,226,2850,Queens,Queens
7,129,2846,Queens,Queens
82,56,2838,Queens,Queens
74,166,2827,Manhattan,Manhattan
97,49,2807,Brooklyn,Brooklyn
129,82,2717,Queens,Queens
41,75,2627,Manhattan,Manhattan
260,129,2569,Queens,Queens
255,255,2558,Brooklyn,Brooklyn
7,260,2539,Queens,Queens
75,263,2411,Manhattan,Manhattan
166,41,2372,Manhattan,Manhattan
129,260,2331,Queens,Queens
255,80,2326,Brooklyn,Brooklyn
42,116,2304,Manhattan,Manhattan
