brooklyn,freq
11,244
14,1270
17,7565
21,439
22,499
25,22648
26,1124
29,497
33,23941
34,559
35,1431
36,3238
37,2591
39,1044
40,6962
49,11871
52,8730
54,377
55,1836
61,9399
62,1604
63,318
65,21444
66,18135
67,228
71,979
72,948
76,2132
77,531
80,6541
85,918
89,2471
91,1128
97,27307
106,2852
108,351
111,48
112,10577
123,719
133,597
149,773
150,283
154,28
155,659
165,826
177,1285
178,222
181,28263
188,3045
189,3392
190,725
195,1077
210,3324
217,824
222,330
225,3297
227,431
228,1921
255,29054
256,10691
257,566
