queens,freq
2,0
7,44674
8,18
9,138
10,308
15,61
16,206
19,95
27,0
28,622
30,2
38,40
53,164
56,1525
57,106
64,47
70,810
73,130
82,40931
83,5228
86,30
92,6865
93,299
95,23456
96,31
98,85
101,42
102,211
117,100
121,875
122,136
124,103
129,23809
130,11895
131,312
132,155
134,7235
135,479
138,144
139,76
145,12792
146,4163
157,515
160,281
171,208
173,2259
175,92
179,5825
180,153
191,319
192,460
193,2333
196,8711
197,622
198,363
201,7
203,73
205,299
207,89
215,399
216,675
218,222
219,79
223,17896
226,9700
252,100
253,19
258,308
260,19191
