Datas_of_area_pull_fhv_04,Freq
0,304
1,1075
2,33
3,14061
4,53870
5,1295
6,2743
7,98493
8,363
9,7156
10,22360
11,9154
12,1853
13,75001
14,49828
15,5257
16,18698
17,96044
18,27963
19,5621
20,19848
21,23822
22,29711
23,7528
24,22327
25,57023
26,35504
27,218
28,16847
29,15536
30,166
31,3438
32,14950
33,58045
34,7039
35,50604
36,91528
37,116210
38,6354
39,63547
40,28701
41,68749
42,77714
43,25038
44,1717
45,32894
46,1149
47,18166
48,155326
49,79348
50,93803
51,19589
52,17743
53,9498
54,8040
55,15969
56,23204
57,2210
58,1453
59,756
60,12235
61,151116
62,39308
63,22539
64,4908
65,56006
66,41460
67,14448
68,149898
69,31811
70,23087
71,39855
72,48619
73,8592
74,62773
75,60494
76,75813
77,22395
78,22989
79,220445
80,98283
81,18878
82,55206
83,16437
84,2242
85,25670
86,3435
87,83599
88,31605
89,79887
90,100834
91,45090
92,41271
93,6620
94,12360
95,48913
96,973
97,70492
98,9092
99,220
100,83994
101,3863
102,20470
105,3
106,26538
107,127913
108,12082
109,3306
110,14
111,482
112,105787
113,107294
114,104879
115,3613
116,45158
117,4595
118,5687
119,20173
120,638
121,22776
122,7164
123,28425
124,8315
125,49853
126,15679
127,32320
128,1982
129,73920
130,44757
131,12703
132,183124
133,17205
134,16564
135,15930
136,17285
137,84604
138,174002
139,10595
140,88414
141,103876
142,111719
143,73604
144,117519
145,63380
146,22085
147,11823
148,149020
149,19982
150,12098
151,45960
152,22945
153,6306
154,1369
155,23767
156,5806
157,20903
158,103971
159,22424
160,17315
161,179664
162,132742
163,125185
164,136910
165,25571
166,69553
167,20755
168,30906
169,27223
170,154741
171,16369
172,2925
173,21176
174,23340
175,7513
176,1597
177,37377
178,9638
179,32154
180,10684
181,118800
182,13873
183,7215
184,799
185,18723
186,107865
187,4142
188,70710
189,44740
190,9018
191,17112
192,9916
193,8761
194,1400
195,23033
196,18192
197,27261
198,54291
199,5
200,16726
201,1672
202,5458
203,10864
204,1200
205,24630
206,8439
207,348
208,16579
209,28094
210,27059
211,85315
212,13110
213,24358
214,3913
215,19290
216,35710
217,10079
218,13018
219,11965
220,25820
221,5102
222,9394
223,54061
224,42048
225,87030
226,58272
227,17948
228,40376
229,99998
230,160619
231,173732
232,59153
233,81236
234,181234
235,30438
236,118412
237,129040
238,89066
239,110932
240,3503
241,26020
242,22898
243,49937
244,70849
245,4529
246,125346
247,31870
248,13657
249,133198
250,13524
251,3981
252,9058
253,1388
254,26975
255,147190
256,115153
257,19377
258,21037
259,16505
260,36209
261,47203
262,65788
263,79616
264,295
265,32167
