Datas_of_area_pull_green_04,Freq
1,14
2,2
3,156
4,2
6,7
7,54998
8,22
9,31
10,125
11,42
13,6
14,848
15,13
16,115
17,13443
18,1147
19,41
20,1062
21,77
22,107
23,19
24,3373
25,27491
26,222
28,669
29,258
31,555
32,228
33,27038
34,725
35,800
36,5777
37,4968
38,21
39,283
40,8827
41,61468
42,39521
43,9391
44,1
45,3
46,28
47,922
48,43
49,17910
50,9
51,251
52,10893
53,229
54,610
55,1501
56,1719
57,204
58,9
59,25
60,399
61,14365
62,1861
63,182
64,12
65,20772
66,23619
67,42
68,15
69,3312
70,1143
71,406
72,363
73,75
74,63045
75,54201
76,1064
77,237
78,1041
79,30
80,11342
81,148
82,46463
83,7102
84,1
85,977
86,9
87,10
88,3
89,2049
90,15
91,355
92,8244
93,2953
94,632
95,26392
96,79
97,34390
98,35
100,16
101,30
102,195
106,4460
107,17
108,87
109,4
111,60
112,18031
113,19
114,14
115,19
116,16189
117,20
118,18
119,1400
120,143
121,872
122,112
123,130
124,37
125,2
126,710
127,3815
128,176
129,30242
130,13806
131,116
132,172
133,314
134,8140
135,348
136,723
137,20
138,142
139,8
140,44
141,43
142,38
143,7
144,6
145,16305
146,5576
147,549
148,12
149,197
150,62
151,5
152,9011
153,507
154,30
155,99
156,34
157,529
158,10
159,3599
160,267
161,53
162,24
163,30
164,23
165,148
166,46314
167,1291
168,3261
169,1151
170,33
171,117
172,2
173,3585
174,1542
175,24
176,1
177,1343
178,56
179,5841
180,93
181,36897
182,1642
183,269
184,241
185,647
186,25
187,36
188,3811
189,5807
190,1957
191,91
192,519
193,2434
194,68
195,1235
196,9582
197,764
198,649
200,97
201,3
202,102
203,44
205,94
206,77
207,170
208,406
209,5
210,3322
211,11
212,1584
213,558
214,1
215,176
216,799
217,1011
218,62
219,76
220,883
221,16
222,52
223,19725
225,5020
226,13114
227,203
228,2227
229,41
230,51
231,14
233,10
234,41
235,925
236,2496
237,55
238,18
239,30
240,86
241,715
242,1926
243,5986
244,22919
245,24
246,6
247,6113
248,490
249,24
250,898
251,10
252,57
253,246
254,323
255,46141
256,21439
257,565
258,274
259,76
260,22632
261,6
262,44
263,666
264,1514
265,297
