queens,freq
2,1
7,50557
8,53
9,54
10,167
15,36
16,110
19,73
27,3
28,647
30,0
38,22
53,218
56,1749
57,161
64,20
70,1120
73,85
82,43294
83,6654
86,7
92,7505
93,2281
95,24822
96,39
98,54
101,38
102,173
117,36
121,800
122,65
124,45
129,28021
130,13315
131,179
132,198
134,7955
135,329
138,166
139,28
145,15294
146,5452
157,546
160,269
171,147
173,3215
175,24
179,5230
180,82
191,146
192,628
193,2736
196,8954
197,646
198,430
201,8
203,61
205,116
207,248
215,212
216,734
218,78
219,88
223,18636
226,11508
252,66
253,205
258,318
260,22019
