brooklyn,freq
11,53
14,987
17,11078
21,118
22,207
25,25884
26,564
29,364
33,26306
34,787
35,774
36,3205
37,3202
39,477
40,7945
49,15303
52,9672
54,582
55,2629
61,11225
62,1616
63,112
65,18977
66,21340
67,81
71,434
72,353
76,961
77,219
80,7782
85,885
89,1951
91,423
97,29780
106,3486
108,131
111,92
112,15368
123,242
133,348
149,323
150,142
154,26
155,158
165,234
177,1201
178,92
181,33065
188,3164
189,4530
190,1350
195,1145
210,3257
217,1173
222,71
225,3985
227,235
228,2150
255,36217
256,14672
257,691
