bronx,freq
3,202
18,1085
20,824
31,727
32,284
46,20
47,799
51,252
58,8
59,21
60,374
69,2798
78,1083
81,130
94,533
119,1267
126,620
136,681
147,556
159,3415
167,1279
168,2971
169,1042
174,1425
182,1587
183,236
184,150
185,640
199,0
200,102
208,413
212,1524
213,620
220,849
235,803
240,53
241,615
242,1838
247,5735
248,548
250,840
254,336
259,84
