Datas_of_area_pull_fhv_12,Freq
-1,4
0,567
1,2820
2,21
3,22273
4,76835
5,2422
6,4221
7,155843
8,883
9,12086
10,33289
11,15553
12,4620
13,98023
14,82405
15,10712
16,30870
17,143821
18,54070
19,8328
20,34574
21,38838
22,48104
23,12044
24,29569
25,94371
26,69267
27,275
28,25762
29,27624
30,371
31,7694
32,26406
33,82120
34,11188
35,76241
36,127934
37,163343
38,9833
39,111097
40,44240
41,106146
42,127741
43,73567
44,3245
45,48532
46,1591
47,35418
48,257556
49,123772
50,94802
51,44902
52,23334
53,17660
54,11683
55,26719
56,42114
57,1896
58,2800
59,1597
60,23655
61,246891
62,67922
63,41015
64,9206
65,79826
66,59425
67,29737
68,201134
69,64925
70,33272
71,62849
72,80724
73,15820
74,103283
75,95865
76,134996
77,38550
78,41742
79,305136
80,132665
81,35967
82,104916
83,27173
84,4642
85,44075
86,10877
87,122562
88,40262
89,128085
90,142488
91,75704
92,83698
93,6384
94,21429
95,77996
96,2446
97,116720
98,14226
99,508
100,142079
101,9351
102,29188
105,4
106,37772
107,188763
108,19993
109,6265
110,27
111,1238
112,134339
113,141710
114,143159
115,6289
116,72510
117,8801
118,10326
119,39493
120,5726
121,28656
122,11376
123,45261
124,15045
125,67774
126,29491
127,46154
128,3184
129,111499
130,70991
131,19432
132,223910
133,30646
134,25903
135,25440
136,32147
137,130395
138,199097
139,15903
140,122565
141,137963
142,152760
143,105862
144,173818
145,91230
146,34112
147,26012
148,208315
149,36029
150,19988
151,67975
152,40516
153,8970
154,2216
155,48338
156,10090
157,34075
158,115690
159,45193
160,29989
161,262743
162,168699
163,154377
164,206020
165,48489
166,90878
167,42652
168,53986
169,54442
170,197593
171,28739
172,4939
173,34149
174,43152
175,12079
176,3104
177,63662
178,18124
179,50185
180,18354
181,180303
182,28174
183,11842
184,2261
185,32217
186,122241
187,6537
188,118278
189,65147
190,12357
191,26420
192,18671
193,14888
194,603
195,28484
196,34715
197,43339
198,87225
199,10
200,23938
201,3634
202,8142
203,16927
204,2262
205,37500
206,21610
207,169
208,30504
209,37855
210,46142
211,116180
212,25419
213,49509
214,6749
215,29828
216,59335
217,20862
218,20786
219,19096
220,44125
221,12567
222,16428
223,78138
224,54045
225,143313
226,86257
227,31947
228,63370
229,147954
230,194272
231,221285
232,84556
233,127949
234,262648
235,53950
236,151537
237,178767
238,132733
239,143204
240,10332
241,46449
242,41683
243,82287
244,112339
245,8970
246,182038
247,57405
248,25582
249,189230
250,23928
251,7325
252,18030
253,732
254,50259
255,175837
256,137191
257,27306
258,35939
259,34221
260,55246
261,71378
262,92992
263,116445
264,225
265,21798
