Datas_of_area_pull_green_09,Freq
1,12
3,268
4,2
6,5
7,44238
8,22
9,111
10,193
11,170
14,1099
15,35
16,138
17,9002
18,931
19,94
20,810
21,298
22,412
23,5
24,2979
25,22075
26,760
27,4
28,659
29,414
30,1
31,743
32,284
33,23602
34,560
35,1086
36,3671
37,3069
38,27
39,638
40,6853
41,49319
42,30679
43,7316
44,2
45,1
46,17
47,707
49,12836
51,416
52,7755
53,176
54,472
55,2149
56,1568
57,264
58,24
59,32
60,364
61,9942
62,1661
63,196
64,20
65,20333
66,19231
67,147
69,2171
70,1025
71,571
72,626
73,103
74,56587
75,48055
76,1377
77,330
78,979
80,7154
81,248
82,37728
83,5689
85,910
86,12
89,2037
91,706
92,7165
93,10034
94,405
95,23171
96,52
97,26319
98,100
99,1
101,39
102,192
106,2824
108,239
109,1
111,53
112,12524
115,46
116,12661
117,36
118,5
119,1032
120,94
121,887
122,153
123,472
124,74
126,537
127,2634
128,142
129,23325
130,12037
131,274
132,151
133,463
134,7002
135,416
136,702
138,152
139,69
140,1
141,1
142,1
144,1
145,13405
146,4975
147,431
148,2
149,489
150,186
151,2
152,6837
153,336
154,21
155,352
156,7
157,537
158,1
159,2649
160,288
161,1
163,1
165,440
166,34932
167,940
168,2365
169,912
171,154
172,1
173,2531
174,1295
175,53
177,1107
178,171
179,4972
180,126
181,27448
182,1490
183,213
184,126
185,629
186,1
187,3
188,3113
189,3554
190,853
191,238
192,533
193,2327
194,265
195,1700
196,8418
197,589
198,383
200,159
201,8
202,92
203,44
204,1
205,170
206,46
207,102
208,390
210,2726
211,1
212,1501
213,796
215,273
216,670
217,933
218,146
219,85
220,851
221,29
222,170
223,15878
224,2
225,3325
226,9521
227,323
228,1748
229,2
232,3
233,2
235,732
236,2259
238,2
240,69
241,607
242,1983
243,4622
244,19880
245,3
247,4574
248,495
249,1
250,820
251,1
252,77
253,244
254,444
255,33964
256,12684
257,553
258,309
259,176
260,20016
262,26
263,637
264,950
265,245
