Datas_of_area_pull_fhv_09,Freq
1,2669
2,32
3,16011
4,65216
5,1602
6,3367
7,126181
8,932
9,9176
10,24848
11,10873
12,4256
13,88794
14,61067
15,8413
16,23558
17,118066
18,35149
19,6659
20,26786
21,28145
22,32955
23,9826
24,24893
25,76863
26,49763
27,924
28,20389
29,19723
30,318
31,7616
32,18169
33,76495
34,10847
35,56103
36,110321
37,138104
38,7428
39,80309
40,37690
41,84090
42,94440
43,60321
44,2192
45,40907
46,1714
47,24113
48,220382
49,101660
50,94339
51,27354
52,18101
53,13927
54,9859
55,22540
56,32667
57,2200
58,2171
59,1263
60,15366
61,189875
62,51561
63,28375
64,6928
65,71626
66,59034
67,17740
68,182742
69,43085
70,29488
71,48637
72,60952
73,12028
74,84687
75,75017
76,91206
77,27212
78,28281
79,255984
80,118214
81,25482
82,73404
83,20258
84,3088
85,32491
86,7248
87,116437
88,35220
89,94687
90,129197
91,56964
92,67755
93,22600
94,13881
95,63474
96,2132
97,92316
98,11803
99,475
100,118491
101,7466
102,23046
105,2
106,31179
107,157084
108,13902
109,4135
110,86
111,1061
112,124902
113,118125
114,121930
115,5068
116,53463
117,6559
118,7165
119,27236
120,4515
121,26838
122,8348
123,30799
124,10621
125,69759
126,18074
127,34991
128,3257
129,85656
130,51833
131,16096
132,222661
133,22519
134,20842
135,21052
136,22226
137,105318
138,195257
139,11521
140,102962
141,111807
142,124104
143,90390
144,147783
145,86293
146,31803
147,16577
148,200742
149,25058
150,16286
151,56853
152,30694
153,6231
154,1780
155,31755
156,7032
157,27576
158,113707
159,30366
160,22075
161,228145
162,145950
163,126228
164,178350
165,34292
166,80154
167,27431
168,36417
169,36249
170,167325
171,21742
172,3483
173,26105
174,29476
175,9378
176,2112
177,46379
178,13011
179,41275
180,12799
181,143582
182,18177
183,8179
184,2215
185,22633
186,105737
187,4690
188,88765
189,50456
190,12010
191,19813
192,15660
193,12192
194,2566
195,32427
196,25298
197,31366
198,70729
199,1
200,19685
201,3815
202,7887
203,12432
204,1637
205,26629
206,16686
207,213
208,21409
209,34495
210,31898
211,104708
212,16386
213,32381
214,5092
215,20792
216,42484
217,16588
218,14253
219,13407
220,34456
221,9425
222,10959
223,68765
224,47532
225,113076
226,67751
227,24191
228,49596
229,120038
230,172344
231,199621
232,76790
233,110309
234,221351
235,36021
236,122757
237,149506
238,107525
239,117724
240,8061
241,31136
242,29741
243,62880
244,82938
245,6555
246,184850
247,42741
248,16628
249,160769
250,16016
251,4947
252,14166
253,4954
254,35649
255,174003
256,123011
257,21637
258,25581
259,24499
260,44602
261,58962
262,78774
263,94987
264,169
265,13548
