bronx,freq
3,1180
18,166
20,134
31,9
32,299
46,7
47,276
51,1882
58,2
59,2
60,90
69,341
78,568
81,2719
94,75
119,254
126,93
136,143
147,159
159,253
167,189
168,196
169,714
174,376
182,110
183,41
184,4
185,609
199,0
200,46
208,101
212,102
213,270
220,112
235,215
240,14
241,84
242,794
247,135
248,111
250,108
254,1262
259,333
