brooklyn,freq
11,212
14,1258
17,8493
21,418
22,470
25,24048
26,881
29,588
33,26131
34,701
35,1266
36,3620
37,3038
39,867
40,7276
49,12813
52,8648
54,490
55,2269
61,9981
62,1720
63,288
65,21828
66,20876
67,207
71,846
72,842
76,1685
77,472
80,7711
85,908
89,2250
91,987
97,27830
106,3369
108,309
111,82
112,12993
123,628
133,498
149,562
150,323
154,21
155,532
165,601
177,1276
178,186
181,30358
188,3225
189,3727
190,936
195,1718
210,3225
217,850
222,242
225,3291
227,435
228,2310
255,35409
256,12716
257,582
