PULocationID,DOLocationID,Freq,jojo,koko
7,7,12010,Queens,Queens
75,74,9500,Manhattan,Manhattan
41,42,8629,Manhattan,Manhattan
74,75,7496,Manhattan,Manhattan
181,181,7457,Brooklyn,Brooklyn
129,129,7342,Queens,Queens
95,95,7132,Queens,Queens
82,129,6927,Queens,Queens
82,82,6886,Queens,Queens
42,42,6487,Manhattan,Manhattan
255,112,6451,Brooklyn,Brooklyn
41,41,6376,Manhattan,Manhattan
41,74,6260,Manhattan,Manhattan
74,74,6021,Manhattan,Manhattan
7,223,5750,Queens,Queens
74,41,5695,Manhattan,Manhattan
223,223,5435,Queens,Queens
75,75,4922,Manhattan,Manhattan
42,41,4719,Manhattan,Manhattan
166,166,4488,Manhattan,Manhattan
74,42,4428,Manhattan,Manhattan
7,179,4266,Queens,Queens
255,256,3899,Brooklyn,Brooklyn
41,166,3761,Manhattan,Manhattan
75,236,3699,Manhattan,Manhattan
223,7,3543,Queens,Queens
74,166,3501,Manhattan,Manhattan
74,236,3499,Manhattan,Manhattan
25,181,3402,Brooklyn,Brooklyn
75,41,3209,Manhattan,Manhattan
244,244,3143,Manhattan,Manhattan
166,238,3112,Manhattan,Manhattan
97,97,3014,Brooklyn,Brooklyn
82,56,2956,Queens,Queens
145,145,2941,Queens,Queens
166,41,2932,Manhattan,Manhattan
166,74,2854,Manhattan,Manhattan
74,263,2847,Manhattan,Manhattan
42,74,2746,Manhattan,Manhattan
97,49,2726,Brooklyn,Brooklyn
41,75,2707,Manhattan,Manhattan
75,263,2678,Manhattan,Manhattan
260,129,2674,Queens,Queens
7,226,2667,Queens,Queens
7,146,2645,Queens,Queens
7,129,2511,Queens,Queens
129,82,2491,Queens,Queens
75,238,2441,Manhattan,Manhattan
82,173,2314,Queens,Queens
255,255,2305,Brooklyn,Brooklyn
