queens,freq
2,0
7,45073
8,22
9,122
10,261
15,65
16,182
19,114
27,1
28,697
30,2
38,38
53,226
56,1698
57,128
64,30
70,1047
73,92
82,40600
83,5749
86,21
92,7181
93,385
95,24005
96,28
98,116
101,45
102,224
117,50
121,950
122,151
124,98
129,25771
130,12677
131,282
132,165
134,7283
135,471
138,138
139,44
145,12951
146,4844
157,452
160,274
171,206
173,2669
175,66
179,6006
180,162
191,264
192,491
193,2435
196,8654
197,598
198,411
201,11
203,73
205,249
207,141
215,365
216,644
218,218
219,91
223,17364
226,10574
252,84
253,17
258,306
260,20042
