bronx,freq
3,1143
18,47
20,22
31,1
32,289
46,17
47,43
51,1810
58,2
59,11
60,19
69,106
78,169
81,3292
94,24
119,72
126,20
136,35
147,42
159,29
167,33
168,65
169,78
174,203
182,27
183,8
184,1
185,220
199,0
200,40
208,64
212,29
213,90
220,69
235,43
240,27
241,36
242,330
247,24
248,19
250,33
254,1886
259,545
