PULocationID,DOLocationID,Freq,jojo,koko
7,7,11504,Queens,Queens
41,42,9113,Manhattan,Manhattan
75,74,9052,Manhattan,Manhattan
74,75,7734,Manhattan,Manhattan
42,42,6802,Manhattan,Manhattan
129,129,6703,Queens,Queens
41,41,6527,Manhattan,Manhattan
41,74,6489,Manhattan,Manhattan
82,129,6433,Queens,Queens
181,181,6226,Brooklyn,Brooklyn
95,95,6133,Queens,Queens
74,74,6113,Manhattan,Manhattan
82,82,5862,Queens,Queens
74,41,5813,Manhattan,Manhattan
255,112,5544,Brooklyn,Brooklyn
7,223,5515,Queens,Queens
42,41,5106,Manhattan,Manhattan
75,75,4922,Manhattan,Manhattan
223,223,4624,Queens,Queens
74,42,4594,Manhattan,Manhattan
7,179,4162,Queens,Queens
255,256,3394,Brooklyn,Brooklyn
74,236,3366,Manhattan,Manhattan
75,236,3312,Manhattan,Manhattan
145,145,3204,Queens,Queens
97,97,3117,Brooklyn,Brooklyn
75,41,3107,Manhattan,Manhattan
166,166,3086,Manhattan,Manhattan
41,166,3065,Manhattan,Manhattan
42,74,2994,Manhattan,Manhattan
74,263,2932,Manhattan,Manhattan
25,181,2920,Brooklyn,Brooklyn
244,244,2885,Manhattan,Manhattan
223,7,2812,Queens,Queens
41,75,2679,Manhattan,Manhattan
97,49,2651,Brooklyn,Brooklyn
260,7,2643,Queens,Queens
75,263,2628,Manhattan,Manhattan
74,166,2610,Manhattan,Manhattan
82,56,2570,Queens,Queens
7,226,2561,Queens,Queens
7,146,2508,Queens,Queens
7,129,2449,Queens,Queens
166,41,2379,Manhattan,Manhattan
129,82,2319,Queens,Queens
7,260,2272,Queens,Queens
166,74,2232,Manhattan,Manhattan
255,255,2230,Brooklyn,Brooklyn
41,116,2214,Manhattan,Manhattan
260,129,2205,Queens,Queens
