queens,freq
2,0
7,45088
8,33
9,93
10,177
15,32
16,123
19,88
27,4
28,642
30,0
38,32
53,252
56,1576
57,209
64,22
70,970
73,79
82,36866
83,5471
86,19
92,7198
93,5334
95,22069
96,23
98,91
101,23
102,175
117,46
121,875
122,157
124,69
129,23659
130,12111
131,249
132,155
134,6328
135,351
138,155
139,45
145,14063
146,4308
157,484
160,273
171,148
173,2645
175,43
179,4492
180,111
191,176
192,700
193,2419
196,8590
197,528
198,389
201,13
203,36
205,164
207,139
215,252
216,707
218,119
219,83
223,15797
226,9116
252,88
253,266
258,272
260,19410
