brooklyn,freq
11,123
14,1014
17,8838
21,294
22,459
25,23057
26,732
29,437
33,23580
34,651
35,982
36,3257
37,2945
39,554
40,6616
49,12566
52,7664
54,432
55,2998
61,10162
62,1444
63,171
65,20017
66,20461
67,149
71,598
72,535
76,1309
77,331
80,7009
85,905
89,2035
91,630
97,27301
106,2882
108,226
111,48
112,11747
123,381
133,390
149,364
150,174
154,20
155,309
165,399
177,1160
178,135
181,25985
188,3081
189,3475
190,984
195,1005
210,2716
217,693
222,153
225,3330
227,329
228,1751
255,31432
256,12014
257,538
