Datas_of_area_pull_green_06,Freq
1,24
2,1
3,204
4,1
6,10
7,50607
8,53
9,54
10,168
11,53
14,988
15,38
16,114
17,11090
18,1109
19,74
20,849
21,118
22,207
23,16
24,3120
25,25902
26,564
27,3
28,663
29,365
31,737
32,291
33,26350
34,788
35,777
36,3209
37,3204
38,22
39,478
40,7958
41,55204
42,34822
43,8575
45,3
46,21
47,805
49,15322
50,1
51,253
52,9678
53,218
54,584
55,2648
56,1759
57,165
58,9
59,21
60,377
61,11244
62,1617
63,114
64,21
65,19007
66,21366
67,81
68,1
69,2810
70,1127
71,434
72,354
73,89
74,60216
75,52559
76,967
77,220
78,1090
79,1
80,7789
81,132
82,43359
83,6661
84,1
85,887
86,7
87,2
88,1
89,1956
90,1
91,424
92,7565
93,2341
94,539
95,24937
96,39
97,29808
98,54
99,2
100,1
101,44
102,174
106,3491
108,132
111,92
112,15382
114,1
115,12
116,14976
117,36
118,9
119,1283
120,165
121,808
122,65
123,242
124,46
125,1
126,622
127,3349
128,177
129,28057
130,13611
131,187
132,204
133,348
134,7996
135,331
136,693
138,166
139,28
140,1
142,1
145,15326
146,5462
147,557
148,2
149,323
150,143
151,49
152,8152
153,448
154,26
155,158
156,15
157,546
158,4
159,3423
160,269
161,2
163,1
164,1
165,234
166,35852
167,1284
168,2986
169,1053
171,149
172,4
173,3228
174,1481
175,24
177,1202
178,92
179,5237
180,84
181,33088
182,1605
183,245
184,161
185,647
187,19
188,3167
189,4535
190,1350
191,155
192,636
193,2741
194,251
195,1146
196,8986
197,657
198,432
200,108
201,8
202,101
203,62
204,1
205,121
206,45
207,250
208,423
210,3259
212,1529
213,624
214,6
215,216
216,744
217,1174
218,78
219,91
220,870
221,15
222,71
223,18660
225,3989
226,11521
227,235
228,2152
229,1
230,3
231,1
232,2
234,1
235,815
236,2555
237,4
238,7
239,5
240,65
241,637
242,1856
243,5840
244,23272
245,12
246,1
247,5771
248,553
249,1
250,848
251,8
252,66
253,215
254,345
255,36257
256,14688
257,691
258,318
259,88
260,22067
261,1
262,21
263,732
264,1138
265,363
