Datas_of_area_pull_fhv_06,Freq
1,2389
2,34
3,14603
4,59098
5,1888
6,3866
7,110139
8,1054
9,8203
10,23611
11,10731
12,4839
13,86216
14,57737
15,8702
16,21916
17,109387
18,30711
19,6328
20,21424
21,25260
22,30238
23,11032
24,21967
25,68266
26,48924
27,963
28,17821
29,18261
30,293
31,6622
32,16634
33,66881
34,10221
35,50454
36,99631
37,126493
38,7596
39,71828
40,33580
41,74290
42,83946
43,59651
44,2128
45,34541
46,1675
47,20613
48,199749
49,86962
50,79854
51,21236
52,17066
53,10535
54,9573
55,22641
56,29315
57,1632
58,1919
59,1008
60,12772
61,175074
62,45402
63,24971
64,6488
65,60283
66,49178
67,16839
68,158637
69,36256
70,25131
71,42829
72,54338
73,9076
74,74723
75,67494
76,81401
77,24414
78,23530
79,225731
80,104976
81,19209
82,62826
83,17772
84,3143
85,28141
86,6393
87,98989
88,32183
89,83327
90,119373
91,52363
92,43252
93,8172
94,11859
95,58273
96,2041
97,79888
98,9234
99,1104
100,104558
101,6550
102,21420
105,4
106,28999
107,142010
108,13836
109,4788
110,37
111,994
112,118161
113,101197
114,104079
115,4363
116,47191
117,5925
118,9523
119,23183
120,4140
121,16147
122,7498
123,29865
124,9921
125,59246
126,15814
127,32797
128,3280
129,83555
130,48038
131,12950
132,206672
133,20626
134,18889
135,16352
136,18473
137,97855
138,195639
139,11924
140,95722
141,104277
142,115223
143,80249
144,129569
145,72895
146,26062
147,14378
148,166773
149,24007
150,15402
151,50915
152,27020
153,5636
154,2300
155,30375
156,6546
157,24797
158,104757
159,25050
160,20620
161,225246
162,141157
163,123720
164,152714
165,33016
166,56519
167,23268
168,32233
169,31485
170,155818
171,18213
172,4023
173,22694
174,25758
175,7668
176,2377
177,43785
178,12452
179,36638
180,11921
181,139283
182,15696
183,7737
184,2320
185,20996
186,89487
187,3896
188,79399
189,46306
190,11557
191,18823
192,11005
193,10751
194,2134
195,26833
196,22101
197,29076
198,62288
199,10
200,17563
201,3619
202,6262
203,12034
204,1637
205,26579
206,16230
207,162
208,18647
209,27683
210,29893
211,90280
212,13697
213,29216
214,5994
215,20560
216,39128
217,16623
218,14029
219,13319
220,29912
221,9065
222,10615
223,65869
224,44509
225,106320
226,64109
227,20530
228,44465
229,115716
230,154577
231,180647
232,65360
233,108318
234,200555
235,30742
236,115739
237,139516
238,102121
239,112648
240,7267
241,27274
242,26963
243,57446
244,74762
245,7603
246,164362
247,36068
248,14539
249,143712
250,15002
251,6884
252,13325
253,2955
254,28208
255,157400
256,115610
257,21990
258,23488
259,20956
260,40143
261,49972
262,72884
263,85935
264,338
265,43161
