Datas_of_area_pull_green_08,Freq
1,12
3,259
5,1
6,8
7,45132
8,33
9,93
10,179
11,124
14,1015
15,32
16,126
17,8846
18,918
19,90
20,709
21,294
22,459
23,11
24,2341
25,23078
26,732
27,4
28,649
29,438
31,663
32,334
33,23612
34,652
35,983
36,3262
37,2953
38,32
39,556
40,6624
41,50153
42,32018
43,7643
44,4
46,32
47,661
49,12574
50,1
51,368
52,7668
53,252
54,434
55,3012
56,1581
57,213
58,16
59,27
60,386
61,10175
62,1447
63,172
64,22
65,20039
66,20486
67,149
69,2318
70,973
71,598
72,535
73,79
74,57416
75,47909
76,1312
77,331
78,1029
80,7017
81,193
82,36906
83,5472
85,906
86,19
87,1
89,2038
91,632
92,7253
93,5453
94,427
95,22154
96,23
97,27327
98,91
101,26
102,175
106,2884
107,3
108,226
109,1
111,48
112,11756
115,14
116,13103
117,46
118,7
119,989
120,133
121,882
122,157
123,382
124,70
126,518
127,2863
128,126
129,23695
130,12312
131,253
132,159
133,390
134,6361
135,354
136,679
138,156
139,45
140,2
141,1
144,1
145,14095
146,4315
147,410
149,364
150,174
151,1
152,6972
153,386
154,20
155,309
156,11
157,487
159,2641
160,275
162,1
164,1
165,399
166,28272
167,953
168,2516
169,896
171,149
172,2
173,2652
174,1219
175,45
177,1163
178,135
179,4494
180,111
181,26005
182,1708
183,234
184,144
185,617
187,8
188,3088
189,3478
190,985
191,186
192,705
193,2420
194,51
195,1008
196,8612
197,534
198,389
200,139
201,13
202,86
203,38
204,1
205,166
206,39
207,139
208,418
210,2719
212,1601
213,654
214,11
215,260
216,713
217,696
218,120
219,86
220,839
221,23
222,153
223,15808
224,1
225,3332
226,9126
227,331
228,1754
229,5
230,1
231,1
233,1
235,726
236,1884
238,2
239,1
240,71
241,657
242,1843
243,4513
244,19998
245,8
247,4951
248,439
250,814
251,6
252,88
253,275
254,388
255,31478
256,12030
257,538
258,273
259,159
260,19442
261,1
262,25
263,583
264,1027
265,257
