Datas_of_area_pull_fhv_08,Freq
1,2767
2,28
3,16185
4,62657
5,1950
6,4220
7,119865
8,1034
9,8159
10,24949
11,11060
12,5103
13,91911
14,57926
15,6548
16,21895
17,114253
18,34650
19,6617
20,23543
21,27187
22,32253
23,13375
24,23527
25,72627
26,42825
27,1463
28,19630
29,19656
30,381
31,7306
32,18505
33,70772
34,11502
35,55136
36,101903
37,132589
38,7490
39,80349
40,34290
41,80306
42,91474
43,56660
44,2482
45,38272
46,1827
47,23528
48,212186
49,93361
50,89202
51,25796
52,16101
53,12579
54,9298
55,25441
56,32475
57,1952
58,1977
59,1389
60,15021
61,190474
62,49103
63,27704
64,6616
65,69390
66,57122
67,17234
68,163637
69,42597
70,26967
71,48017
72,58990
73,10777
74,80078
75,74848
76,90807
77,26803
78,27845
79,239346
80,106683
81,23099
82,69586
83,19166
84,3363
85,31120
86,7516
87,112022
88,37037
89,90515
90,123068
91,56190
92,55458
93,16008
94,13387
95,60082
96,2236
97,88570
98,10486
99,1249
100,114133
101,7026
102,22621
105,2
106,28809
107,148323
108,13892
109,5060
110,52
111,956
112,113482
113,107020
114,106202
115,5256
116,52034
117,7631
118,10329
119,27206
120,4684
121,18999
122,8484
123,26205
124,10587
125,62818
126,19292
127,35579
128,3343
129,84338
130,50812
131,14313
132,227320
133,20916
134,20412
135,18202
136,21315
137,105560
138,196432
139,12483
140,100381
141,108586
142,111800
143,82029
144,136111
145,81011
146,29921
147,16297
148,177925
149,23591
150,15337
151,54222
152,28903
153,6345
154,1833
155,32454
156,8669
157,25840
158,101996
159,29432
160,21962
161,235558
162,151125
163,122645
164,169025
165,30835
166,62913
167,27860
168,35229
169,35458
170,169747
171,20166
172,4269
173,25143
174,28815
175,7813
176,2679
177,45363
178,11084
179,39799
180,12639
181,134396
182,17655
183,8107
184,2452
185,22778
186,99667
187,6013
188,88571
189,48010
190,11541
191,19807
192,14045
193,11473
194,1376
195,29138
196,24398
197,31723
198,66161
199,5
200,15603
201,5216
202,7088
203,12985
204,1660
205,27775
206,19780
207,210
208,20701
209,30433
210,32071
211,92209
212,15642
213,32875
214,6784
215,21451
216,42020
217,14333
218,14551
219,13922
220,33057
221,10697
222,11166
223,64862
224,48068
225,112215
226,66139
227,22651
228,48233
229,119347
230,167935
231,181444
232,71592
233,117016
234,212499
235,35104
236,106640
237,128712
238,96776
239,110265
240,7902
241,29702
242,30000
243,62814
244,81628
245,8856
246,168567
247,42472
248,16051
249,146793
250,16175
251,7848
252,11515
253,3984
254,33084
255,154886
256,114121
257,21048
258,24988
259,21477
260,41621
261,56739
262,73035
263,91629
264,276
265,17441
