Datas_of_area_pull_green_01,Freq
1,13
2,1
3,138
4,1
6,15
7,54780
8,24
9,31
10,114
11,43
13,5
14,970
15,23
16,175
17,13802
18,1152
19,53
20,962
21,82
22,82
23,20
24,3070
25,28690
26,227
28,598
29,321
31,242
32,252
33,27002
34,645
35,1027
36,5171
37,4664
38,14
39,515
40,9704
41,60430
42,38817
43,10515
44,2
46,10
47,1024
48,22
49,17246
50,8
51,184
52,11926
53,177
54,566
55,793
56,1734
57,120
58,6
59,24
60,408
61,14215
62,1794
63,153
64,16
65,20941
66,21747
67,47
68,11
69,3337
70,1166
71,472
72,510
73,89
74,62165
75,58254
76,1324
77,329
78,1068
79,23
80,9325
81,97
82,44195
83,6222
85,1045
86,9
87,10
88,1
89,2283
90,20
91,472
92,7997
93,262
94,529
95,25209
96,34
97,35441
98,31
100,9
101,22
102,181
106,4180
107,15
108,93
109,1
111,51
112,17160
113,13
114,10
115,24
116,16468
117,24
118,2
119,1072
120,135
121,767
122,102
123,163
124,34
125,5
126,643
127,3556
128,177
129,30369
130,13100
131,160
132,158
133,365
134,8406
135,312
136,758
137,13
138,147
139,11
140,24
141,18
142,14
143,4
144,5
145,16434
146,5522
147,545
148,9
149,389
150,63
151,9
152,8267
153,506
154,18
155,114
156,11
157,581
158,8
159,3939
160,202
161,42
162,23
163,36
164,11
165,150
166,39990
167,1356
168,3110
169,1243
170,31
171,128
172,3
173,3790
174,1779
175,18
177,1384
178,48
179,6212
180,65
181,41607
182,1654
183,172
184,155
185,583
186,10
187,6
188,3740
189,5837
190,925
191,110
192,391
193,2702
194,26
195,950
196,9590
197,718
198,610
200,81
201,3
202,99
203,36
204,1
205,70
206,42
207,252
208,317
209,5
210,3729
211,6
212,1729
213,543
214,5
215,191
216,655
217,1155
218,54
219,41
220,943
221,14
222,54
223,20853
225,5364
226,13554
227,243
228,2260
229,32
230,34
231,10
232,4
233,19
234,26
235,980
236,2405
237,26
238,15
239,20
240,81
241,782
242,1943
243,6478
244,24550
245,5
246,8
247,5041
248,545
249,15
250,801
251,6
252,76
253,13
254,270
255,45192
256,17378
257,552
258,253
259,82
260,23516
261,6
262,53
263,660
264,1631
265,378
